Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Weight in gm,Species,Season
1,5.1,3.5,1.4,0.2,20,Iris-setosa,spring
2,4.9,3,1.4,0.2,35,Iris-setosa,summer
3,4.7,3.2,1.3,0.2,33,Iris-setosa,fall
4,4.6,3.1,1.5,0.2,27,Iris-setosa,winter
5,5,3.6,1.4,0.2,41,Iris-setosa,spring
6,5.4,3.9,1.7,0.4,17,Iris-setosa,summer
7,4.6,3.4,1.4,0.3,5,Iris-setosa,fall
8,5,3.4,1.5,0.2,33,Iris-setosa,winter
9,4.4,2.9,1.4,0.2,5,Iris-setosa,spring
10,4.9,3.1,1.5,0.1,31,Iris-setosa,summer
11,5.4,3.7,1.5,0.2,33,Iris-setosa,fall
12,4.8,3.4,1.6,0.2,7,Iris-setosa,winter
13,4.8,3,1.4,0.1,NA,Iris-setosa,spring
14,4.3,3,1.1,0.1,19,Iris-setosa,summer
15,5.8,4,1.2,0.2,8,Iris-setosa,fall
16,5.7,4.4,1.5,0.4,19,Iris-setosa,winter
17,5.4,3.9,1.3,0.4,38,Iris-setosa,spring
18,5.1,3.5,1.4,0.3,5,Iris-setosa,summer
19,5.7,3.8,1.7,0.3,35,Iris-setosa,fall
20,5.1,3.8,1.5,0.3,24,Iris-setosa,winter
21,5.4,3.4,1.7,0.2,14,Iris-setosa,spring
22,5.1,3.7,1.5,0.4,8,Iris-setosa,summer
23,4.6,3.6,1,0.2,29,Iris-setosa,fall
24,5.1,3.3,1.7,0.5,41,Iris-setosa,winter
25,4.8,3.4,1.9,0.2,24,Iris-setosa,spring
26,5,3,1.6,0.2,NA,Iris-setosa,summer
27,5,3.4,1.6,0.4,41,Iris-setosa,fall
28,5.2,3.5,1.5,0.2,7,Iris-setosa,winter
29,5.2,3.4,1.4,0.2,20,Iris-setosa,spring
30,4.7,3.2,1.6,0.2,28,Iris-setosa,summer
31,4.8,3.1,1.6,0.2,3,Iris-setosa,fall
32,5.4,3.4,1.5,0.4,3,Iris-setosa,winter
33,5.2,4.1,1.5,0.1,15,Iris-setosa,spring
34,5.5,4.2,1.4,0.2,25,Iris-setosa,summer
35,4.9,3.1,1.5,0.1,23,Iris-setosa,fall
36,5,3.2,1.2,0.2,8,Iris-setosa,winter
37,5.5,3.5,1.3,0.2,39,Iris-setosa,spring
38,4.9,3.1,1.5,0.1,37,Iris-setosa,summer
39,4.4,3,1.3,0.2,35,Iris-setosa,fall
40,5.1,3.4,1.5,0.2,NA,Iris-setosa,winter
41,5,3.5,1.3,0.3,40,Iris-setosa,spring
